,comment,status
0,"Had a chance to visit this Iconic Hot Dog Establishment but it is way more then just hot dogs. They have a pretty wide variety of food items to select from. We were in search of a Chicago Hot Dog and decided on coming here.
Glad we did. The food was freshly made and had a great taste.
We ordered a Portillo’s Beef Hot Dog (Reg Size) with all the toppings along with a Maxwell Street Polish. Both had great flavor and did not disappoint. I also ordered a small fries along with a Garden Salad. The side Salad is pretty large and is served with a pretty large piece of Ciabatta Bread. My daughter and son-in-law split a Beef Hot Dog and an Italian Beef Sandwich. She said it was really tasty. If you want a good quick meal visit Portillo’s!!",1
1,"I really liked this place. There are really long lines, but very quick. I was waiting on the order for a couple of minutes, but hotdogs only. Those were ready before I ordered a beer :) also, they serve a beer in an ice-cold glass! Awesome! A lot of space, 2 floors, easy to find a table. Definitely recommend if you never tried Chicago-style hot dog 🌭!",1
2,"The seasonal salted caramel shake was delicious! The hot dog was something I have never experienced with all the different veggies and specialty peppers. The hot dog itself did not seem to have you to have a lot of flavor but all the toppings made up for it. The sandwich was a little dry however they did have a gravy option maybe that's where we went wrong in ordering it dry but the meat was tender. Bathrooms were clean, employees constantly walking around keeping the tables clean.",1
3,"This is one of those places you are told to go to while in Chicago.  The food was great.  The hot Italian beef sandwich, hot dogs and chocolate cake are all amazing.  The line was pretty long for around 3 in the afternoon, but that is expected.  The main reason that I gave them four stars is the state of the bathrooms and general lack of cleaning.  They had a few employees walking around to clean, but they obviously needed more.  I am hoping that this was just a one off situation.  Overall, I would go back, since the food was very good.",1
4,"The chocolate cake was my absolute favorite dessert of all time. It was so moist and not too sweet on the frosting. Absolutely divine!!! The hotdog was also excellent, I wish the peppers were a little more spicy but they had a kick. The restaurant itself was very cozy, lots of seating and things to look at. The staff could be a little bit more friendlier but what else do you expect from Chicago.",1
5,"Very popular, casual, neighborhood restaurant on N Clark & W Ontario. You can walk in, place your order and pick it up within minutes.  I was surprised  by the spacious food court feel when I walked in.  But way cooler.  Service was quick and we enjoyed our first classic Chicago style beef hot dogs. It hit the spot. We had a side of onion rings too.",1
6,"One of the best hot dogs I have ever had! Beef sandwich, even with extra gravy was a bit dry but also pretty good. Atmosphere was awesome! The shakes are to die for!",1
7,"Food was great, truly a taste  of Chicago. The ambience of the restaurant captured the old style Chicago. Toilets weren't the best. While we were about to eat and we needed to combine 2 tables because we were 7 in total. We wanted to enjoy our meal and experience as a family. Until this service lady came to us and told us to rearrange back the tables after we ate. Paying customers rearranging back tables? It was past lunch and there was not enough customers to make her job busy. But NO she had to come to us and make us feel uncomfortable. Like she was the one paying for our meal. She was rude and management should look unto this kind of customer service. 2 stars for the bad and rude customer service!",0
8,"Cool building, large eat-in cafeteria style. Wait in line, order food, wait for food and sit. It was a pretty long wait, even one of the employees behind the counter agreed. We also got the popular cake shakes, they tasted like they sound...crumbled up cake in a shake. Nothing to rave about but not bad either. I got the Baked Mostaccioli and it was delicious! Another in my party got the Italian Beef Sandwich and wasn't impressed. Not terrible, but not great either.  I'd go again, but not sure why all the hype.",1
9,"Came to this place cause it’s pretty famous according to other reviews, although I have seen a few things that made me feel I should say that if you visit this place, it should be for the sandwiches or hot dogs; the salad ingredients did not look fresh and one of the workers was leaning in the food counter facing her co-worker and shaking her hair on the food, she had gloves on but was not practicing the cross contamination process, hopefully she gets better training. Usually I don’t like to complain about things like this but seeing this really bugged me, I hope no-one gets sick cause it’s a very busy restaurant… now on the good side of the story the steak sandwich was not disappointing, if you like juicy sandwiches order it with the gravy. I wish I could give it the 5 star rating but I deducted one because of the salad bar.",1
10,"Had a bad time here- my party wanted to go because it’s so highly lauded, but because I’m vegan and was asking what kind of veggie sandwich I could get since I was told they had something they made for people with my preference, the cashiers were genuinely apathetic and unhelpful. One of the only times I walked out of a line for food because of the service I received. This place is to me, smoke and mirrors and is about as decent as a fast food joint. If the atmosphere is supposed to be so great, don’t think to hard about the staff or service because they’ll take that good taste right out of your mouth.",0
11,It was alrighty. Not what I expected. The hot dogs was just a regular  hot dog that you buy at the supermarket. The pasta was pretty good. The restaurant is very busy. There was only one register working which made the line huge. There are different sections inside the restaurant depending on which type of food you want. Not impressed won't return,1
12,What appears as sheer chaos (ordering and getting your food) soon turns into a great tasting experience. The Chicago dog made with Vienna beef hotdogs is to die for. The Polish sausage was one of the tastiest I've ever eaten ...and the 'world famous' chocolate cake really should get that award if it doesn't already. One of the best places in Chicago to eat and something you shouldn't miss. Wish we had had more time to go back again!,1
13,Probably the best hotdogs I ever tasted!,1
14,I will forever come here for the Italian Beef Sandwich! One of my favorite stops!,1
15,Lived up to all the expectations and hype of must have Chicago food!,1
16,"Such a great Chicago treat, in a town full of expensive options, this is a great value. You have to get a Chicago dog in the Windy City and this is the place to get it!",1
17,"Good hotdogs, but didn't completely live up to the expectations. I first ordered the Portillo's hot dog, but when I received it, it was super soggy like it had been made 15 min prior. So much that it stuck to the wrapper and wouldn't come off ,so I requested a new one. They had no problem making me a fresh one. Much better, but not great. Will try a different place next time.",1
18,Yikes won't be eating here again. They served us uncooked fries and the beef sandwich was gross. I wish I would have looked in the bag before I got home I would have returned it right back to them. You would think they would notice they served us a 1/4 box of fries. I wanted to puke it was so gross.,0
19,"I don't want to say these hot dogs were the best food I ate in Chicago, but it was definitely up there. Get the Italian Beef Sandwich with extra peppers and extra gravy.",1
20,the food here was incredible I recommend the pasta it was incredible,1
21,They forgot ALL of our toppings on our burgers. We called them and they put us on hold for 20 minutes to get a manager. So we decided to just go to the store since Google said they closed at 12. When we got there they said they closed at 11 and that we needed to go through the drive through which was already packed. The employees were unhelpful and could be seen standing around through the drive through window. We did not get to speak to a single manager.,0
22,"Had Italian beef sandwich and Jumbo hotdog. Love them, especially the hotdog. Awesome food awesome price
Nice vibe and decorations for dine in
Pretty quick service",1
23,"This place is delicious! Come here for your traditional Chicago dogs, including polish dogs too. Their burgers are great too! And so are their fries and onion rings! They have upstairs seating too but it was closed off when I was there which was too bad cuz the bottom was pretty full, had to pounce on a table when we saw ppl start cleaning up. Lots of personalized signed photos from famous folks who have visited.",1
24,"BIG BEEF ALL DAY!!!!! This place went from waiting 20 minutes for food to 5 to 10 minutes. This place is improving year after year. The only thing I hate is the restrooms they are in a weird spot. When walking upstairs you get a hit of washroom smell in your face, but other than that 5 stars baby.",1
25,Fun kitschy atmosphere where you can get an authentic Chicago hot dog.,1
26,"I love this place. Delicious fast food. The hot dogs are amazing (I love the Chicago style one) and the burgers too.

The only thing they could improve is their system to take the orders. They have two lines and three cashiers, but two of them serve 1 line and one of them serve the other. Of course if you are in the one cashier line you'll have to wait forever to order your food.",1
27,"The atmosphere is incredible.  So much food is pumped out of this place but completely awesome! The staff, as busy as they are, were very friendly. I had to find out one particular person's name as she was so wonderful.  Her name was. ..Mama T! I watched her help so many folks that day. Great spirits!Food was great! That chocolate cake was a great treat back at out hotel!",1
28,This place has a carnival feel. It was busy when we visited around lunch on Friday. But the service was still fast. I had the Italian Beef with the dip on the side. The meat was tender and seasoned well though I think the bread with the dip is an aquired texture. A little to moist for me. Sorry about the M word. Over all I would return and try a few more things on the menu. The daiquiri was good.,1
29,"I had the Italian Beef and Sausage sandwich, a 8.8 score! Fantastic! Mom, Gabs, and Niko had Classic Hot Dogs and gave them high marks, 8.8 to 10! Fries are Devine, my Chocolate Shake was dreamy! Great atmosphere! Wonderful experience, will be back!",1
30,"Super friendly staff, was told to try out their hot dogs. It was definitely yummy! Great for a quick stop",1
31,"The food is really good, the atmosphere is crazy, fun. I've been to the one in Chicago's twice now and both times. Because of the way that the orders just come out so randomly, both times I've had to go inquire about my order. The first time it got lost in the shuffle. The second time only half of my order came out.
I really like the place and food as I said but I wondered if a more organized method wouldn't be more helpful.",1
32,"After all the hype, we got a soggy and semi cold dog and beef. Crowded. Loud. Sticky.  Had to hover to take over a table, overpriced for the portions.

I don’t get it.

EDIT: because my wife requested we try this again, I gave it another shot.

The absolute worst hot dog spot ever. Overpriced soggy nasty dogs. Waited 20 mins.",0
33,"Visiting Chicago for first time and was excited to try.  Food was good but if friendly efficient service matters to you...go elsewhere. Cashier took my money with not a hint of recognition she was speaking with another human (Made me wish for an ordering kiosk).  Numbers get called out completely based on how workers feel like getting the orders out?  My food and others food were thrown around a couple of times before getting into our hands.  But...after the wait and ordeal, the food was good.",1
34,Super delicious!!!,1
35,"Loved the beef hotdog! Nice combination of textures - crunchy pickle, squishy bun, juicy hotdog.",1
36,"Wow, foods great!  Decent prices too, for Chicago.",1
37,"THE authentic Chicago dog!! Get the Jumbo Dog- great dog, great value! Juicy, messy, crispy fresh toppings! Always busy but never a very long wait. Exceptional iconic food Chi-town flavor that takes two hands to eat! More than just dogs, too. Great old Chicago decor. Beer, wine, cocktails, Coke products!",1
38,"Very nice experience. I went on Saint Patricks, so it was full, as any other restaurant in town. It took a while to get my order, but the attendants were very efficient. The place itself looks nice, with a considerable amount of tables (you can go to the second floor). I had a hot dog and think it was quite different from the ones I had so far, and good, of course, so I recommend this place.",1
39,"The Italian beef sandwich with Italian sausage and peppers is delicious, what's even better than that is the delicious lemon cake shake. In Canada we dont have cake shakes so this was a pretty special moment for myself and my friend. The thickness, texture and flavour were perfect. This is definitely a place I'd visit again when I come back to Chicago.",1
40,"By far my favorite place to go when I'm craving Chicago food. Great location, amazing decor and great food. I recommend trying either the Italian beef, ribs, Maxwell hot dog and any of their burgers. You won't be disappointed. After your done and have any more room. You have hot to try the chocolate cake shake it's worth it.",1
41,"Good environment, good location, great food, great drinks. Whether you are a local, new to the area, or just visiting; this is a must go to.",1
42,Great hotdogs. The building was just as interesting.,1
43,Tried authentic Chicago style hotdogs. I thought they tasted pretty darn good,1
44,Had to try a Chicago dog while I was down here. Delicious! Onion rings were good too. Only thing was you order your food like a fast food place then have to find a table. We ended up eating outside.  Thank goodness it wasnt too cold!!,1
45,"We went at the worst possible time. Friday night, around 9pm...there were several events happening this weekend...we waited an hour for our food.  The lines were incredibly chaotic and poorly organized.  Staff isn’t terribly helpful or communicative...but we did get the best Chicago Dog around, it was amazing...with everything on it!!  We also got the drip beef sandwich and the chicken Parmesan...all delicious!  Just be ready to wait for it on the weekend at this time!!!",1
46,"Amazing atmosphere, food could be a bit better. I couldn't eat more than two spoonfuls of the chili, but the hot dog was amazing. Overall a good experience, would recommend. Plus: they have a signed Michael Jordan Bulls jersey! :)",1
47,"Make sure you know what you want when you get in line because this place moves fast. There is a lot of seating here and ultra kitschy decor. You can get almost anything from salad to hot dogs, sandwiches to Italian food. Make sure you order a chocolate cake shake because they are incredible and full of real cake. The large is huge though so be ready to share or just have the shake for a meal.",1
48,Food and service were amazing.  Chocolate cake shake was very good.,1
49,"Fantastic food, I had an italian beef with extra gravy and it was everything I wanted. They have free refills on soda and iced tea but they do not have a machine to do it yourself so you could get stuck waiting for a refill. Brought my family here and the staff was very friendly and helpful. As a tourist, this is a fantastic attraction and great place for reasonably priced food.",1
50,Chocolate cake shake 😋  was yummy...!!,1
51,Yummy! It was a good fast food to try,1
52,Classic hotdogs place with legit Chicago style dogs. Great place to bring families and friends and where you can grab something good and cheap to eat. There are so many options for everyone and with plentiful seating. Grab the Chicago style hot dog and the classic beef sandwich (get it dipped!). Happy eats!,1
53,"I loved it, best food ever. They have a great and large menu, I hot 4 different hot dogs and they were the best hot dogs ever. I traveled from SC and prior to going to Chicago everyone told me I needed to try Portillo's and they were right. I strongly recommend it and I am looking forward to going back next time and in town.",1
54,"For being a popular, well known place, the food really lives up to the hype. They nail the execution of the Chicago hot dog. The hot dog is delicious, the toppings are fresh and the poppy seed bun just completes this chicago staple! I will definitely be back during my next trip!",1
